Id_Jenis,Id_Merk,Tipe,Harga
SP1,M5,MP 96 R17,375000
SP1,M5,BLAZE R17,279000
SP1,M5,MP 57 R17,370000
SP1,M5,MP 27 R17,370000
SP1,M5,NEW FACIO EST R14,180000
SP1,M11,S 224 R12,280000
SP1,M11,SB 132 R14,150000
SP1,M11,SB 132 R17,175000
SP1,M11,S 220 R12,218000
SP1,M7,MB R12,215000
SP1,M7,MB 67 R12,250000
SP1,M7,EXATO NR88 R17,255000
SP2,M10,Advance Ultra 4T 1L,95000
SP2,M10,Advance VSX 4T 1L,45000
SP2,M1,MPX 1  800ML,45000
SP2,M1,MPX 2 800ML,49500
SP2,M1 ,MPX 3 800ML,40000
SP2,M12,Action Plus,30000
SP2,M12,Action Matic 20w 40 800ML,30000
SP2,M3,M3 Oil Active 2T 800ML,33500
SP2,M3,Active Extra 4T 800ML,35000
SP2,M9,Moto 4T 800ML,32500
SP2,M9,Moto Super 4T 800ML,33500
SP3,M1,Stang SP3 Vario 150 eSP,675000
SP7,M1,Fork Assy L FR BeAT eSP dan Scoopy eSP,595000
SP4,M1,Stem Sub Assy STR BeAT eSP,495000
SP5,M1,Vario 125 eSP,465000
SP5,M1,Supra X 125 Helm In,470000
SP6,M1,Cushion Assy RR BeAT FI BeAT Sporty Scoopy FI,455000
SP7,M1,Fork Assy R Front Vario 125 eSP,435000
SP7,M1,Fork Assy L Front Vario 125 eSP,435000
SP7,M1,Fork Assy L Front BeAT eSP Scoopy eSP,435000
SP5,M1,BeAT FI eSP Scoopy FI eSP Vario 110 FI,410000
SP6,M1,Supra X 125 Helm In,375000
SP8,M1,BeAT eSP Scoopy FI,140000
SP8,M1,Vario 150 eSP,140000
SP9,M1,BeAT eSP Scoopy eSP,135000
SP8,M1,Scoopy eSP BeAT eSP,130000
SP10,M1,BeAT eSP BeAT POP eSP Spacy Scoopy FI Vario 125 FI,130000
SP8,M1,Vario 125 eSP Vario 150 eSP,130000
SP11,M1,Vario 125 eSP Vario 150 eSP,130000
SP12 ,M1,Vario 150 eSP,120000
SP10,M1,BeAT FI eSP Scoopy FI eSP Vario 110 FI,125000
SP12 ,M1,Vario 125 eSP Vario 125 FI Vario 150 eSP,115000
SP13,M1,Vario 125 eSP Vario 150 eSP,90000
SP14,M1,Vario 125 eSP Vario 150 eSP,87500
SP15,M1,Supra X 125 Helm In,85000
SP17,M1,CB 150 Verza BeAT POP eSP Scoopy FI Vario 150 eSP,20000
SP18,M1,Blade Supra X 125 FI,27500
SP17,M1,Spacy FI,25000
SP17,M1,Vario 110 Karbu Vario 125 Vario 150 eSP,10000
SP18,M1,BeAT eSP,37500
SP20,M4,Vario 125 FI Vario 150 eSP Scoopy FI,20000
SP20,M1,Supra GTR 150 Vario 110 eSP,30000
SP20,M4,Blade Karbu,17500
SP20,M1,Supra FIT Revo,15000
SP20,M1,Supra X 125 FI Vario 125 FI,17500
SP21 ,M1,CB 150 R Supra GTR,45000
SP21 ,M1,Spacy FI,47000
SP21 ,M1,Revo,49000
SP22,M1,Vario 125 eSP,325000
SP22,M1,Vario 110 Karbu Vario 125 Vario 150 eSP,310000
SP22,M1,Vario 150 eSP,350000
SP23,M1,Vario 150 eSP,35000
SP19,M13,Jupiter Z Vega R,15000
SP18,M13,Jupiter MX 135,30000
SP15,M13,Jupiter MX 135 LC Jupiter Z,87500
SP15,M13,Mio 115 Mio Soul 115,250000
SP6,M13,Jupiter Z Vega R,245000
SP6,M13,Jupiter MX 135 LC,360000
SP16,M13,Mio GT,55000
SP16,M13,Mio Fino Mio Soul,47000
SP14,M13,Vixion Byson Xeon Mio Fino,25000
SP14,M13,Jupiter MX 135 LC,22500
SP20,M4,Byson Vixion ,90000
SP20,M8,Xeon Byson Jupiter MX,17500
SP21 ,M13,Aerox Nmax,136500
SP21 ,M13,Jupiter Z Vega R,35000
SP8,M2,Mio M3,95000
SP8,M2,Mio Fino,90000
SP8,M5,Mio GT,165000
SP24,M6,MF GTZ 5S,210000
SP24,M6,MF GTZ 7S,300000
SP24,M14,YTZ 5S,215000
