Tipe,Harga
MP 96 R17,375000
BLAZE R17,279000
MP 57 R17,370000
MP 27 R17,370000
NEW FACIO EST R14,180000
S 224 R12,280000
SB 132 R14,150000
SB 132 R17,175000
S 220 R12,218000
MB R12,215000
MB 67 R12,250000
EXATO NR88 R17,255000
Advance Ultra 4T 1L,95000
Advance VSX 4T 1L,45000
MPX 1  800ML,45000
MPX 2 800ML,49500
MPX 3 800ML,40000
Action Plus,30000
Action Matic 20w 40 800ML,30000
M3 Oil Active 2T 800ML,33500
Active Extra 4T 800ML,35000
Moto 4T 800ML,32500
Moto Super 4T 800ML,33500
Stang SP3 Vario 150 eSP,675000
Fork Assy L FR BeAT eSP dan Scoopy eSP,595000
Stem Sub Assy STR BeAT eSP,495000
Vario 125 eSP,465000
Supra X 125 Helm In,470000
Cushion Assy RR BeAT FI BeAT Sporty Scoopy FI,455000
Fork Assy R Front Vario 125 eSP,435000
Fork Assy L Front Vario 125 eSP,435000
Fork Assy L Front BeAT eSP Scoopy eSP,435000
BeAT FI eSP Scoopy FI eSP Vario 110 FI,410000
Supra X 125 Helm In,375000
BeAT eSP Scoopy FI,140000
Vario 150 eSP,140000
BeAT eSP Scoopy eSP,135000
Scoopy eSP BeAT eSP,130000
BeAT eSP BeAT POP eSP Spacy Scoopy FI Vario 125 FI,130000
Vario 125 eSP Vario 150 eSP,130000
Vario 125 eSP Vario 150 eSP,130000
Vario 150 eSP,120000
BeAT FI eSP Scoopy FI eSP Vario 110 FI,125000
Vario 125 eSP Vario 125 FI Vario 150 eSP,115000
Vario 125 eSP Vario 150 eSP,90000
Vario 125 eSP Vario 150 eSP,87500
Supra X 125 Helm In,85000
CB 150 Verza BeAT POP eSP Scoopy FI Vario 150 eSP,20000
Blade Supra X 125 FI,27500
Spacy FI,25000
Vario 110 Karbu Vario 125 Vario 150 eSP,10000
BeAT eSP,37500
Vario 125 FI Vario 150 eSP Scoopy FI,20000
Supra GTR 150 Vario 110 eSP,30000
Blade Karbu,17500
Supra FIT Revo,15000
Supra X 125 FI Vario 125 FI,17500
CB 150 R Supra GTR,45000
Spacy FI,47000
Revo,49000
Vario 125 eSP,325000
Vario 110 Karbu Vario 125 Vario 150 eSP,310000
Vario 150 eSP,350000
Vario 150 eSP,35000
Jupiter Z Vega R,15000
Jupiter MX 135,30000
Jupiter MX 135 LC Jupiter Z,87500
Mio 115 Mio Soul 115,250000
Jupiter Z Vega R,245000
Jupiter MX 135 LC,360000
Mio GT,55000
Mio Fino Mio Soul,47000
Vixion Byson Xeon Mio Fino,25000
Jupiter MX 135 LC,22500
Byson Vixion ,90000
Xeon Byson Jupiter MX,17500
Aerox Nmax,136500
Jupiter Z Vega R,35000
Mio M3,95000
Mio Fino,90000
Mio GT,165000
MF GTZ 5S,210000
MF GTZ 7S,300000
YTZ 5S,215000
